Date,SD49
10/11/2007,0.54
10/11/2007,0.56
10/11/2007,0.52
10/11/2007,0.52
10/11/2007,0.56
10/11/2007,0.64
10/11/2007,0.67
10/11/2007,0.70
10/11/2007,0.38
10/11/2007,0.29
10/11/2007,0.27
10/11/2007,0.23
10/11/2007,0.29
10/11/2007,0.29
10/11/2007,0.26
10/11/2007,0.24
10/11/2007,0.47
10/11/2007,0.45
10/11/2007,0.47
10/11/2007,0.62
10/11/2007,0.56
10/11/2007,0.26
10/11/2007,0.44
10/11/2007,0.47
10/11/2007,0.67
10/11/2007,0.27
10/11/2007,0.45
10/11/2007,0.31
10/11/2007,0.44
10/11/2007,0.52
10/11/2007,0.52
10/11/2007,0.47
10/11/2007,0.42
10/11/2007,0.35
10/11/2007,0.34
10/11/2007,0.35
10/11/2007,0.40
10/11/2007,0.35
10/11/2007,0.40
10/11/2007,0.40
10/11/2007,0.50
10/11/2007,0.42
10/11/2007,0.42
10/11/2007,0.40
10/11/2007,0.40
10/11/2007,0.37
10/11/2007,0.32
10/11/2007,0.35
10/11/2007,0.42
10/11/2007,0.50
10/11/2007,0.38
10/11/2007,0.35
10/11/2007,0.44
10/11/2007,0.50
10/11/2007,0.47
10/11/2007,0.45
10/11/2007,0.50
10/11/2007,0.54
10/11/2007,0.50
10/11/2007,0.52
10/11/2007,0.73
10/11/2007,0.62
10/11/2007,0.64
10/11/2007,0.56
10/11/2007,0.67
10/11/2007,0.59
10/11/2007,0.52
10/11/2007,0.62
10/11/2007,0.73
10/11/2007,0.70
10/11/2007,0.62
10/11/2007,0.62
10/11/2007,0.70
10/11/2007,0.70
10/11/2007,0.95
10/11/2007,0.77
10/11/2007,0.99
10/11/2007,0.87
10/11/2007,0.83
10/11/2007,0.64
10/11/2007,0.80
10/11/2007,0.73
10/11/2007,0.99
10/11/2007,0.73
10/11/2007,0.73
10/11/2007,0.77
10/11/2007,1.04
10/11/2007,1.13
10/11/2007,0.67
10/11/2007,0.99
10/11/2007,0.73
10/11/2007,1.04
10/11/2007,0.91
10/11/2007,0.83
10/11/2007,0.73
10/11/2007,0.83
10/11/2007,0.95
10/11/2007,0.77
10/11/2007,0.59
10/11/2007,0.67
10/11/2007,0.64
10/11/2007,0.64
10/11/2007,0.40
10/11/2007,0.31
10/11/2007,0.32
10/11/2007,0.28
10/11/2007,0.35
10/11/2007,0.29
10/11/2007,0.42
10/11/2007,0.44
10/11/2007,0.24
10/11/2007,0.27
10/11/2007,0.26
10/11/2007,0.29
10/11/2007,0.31
10/11/2007,0.44
10/11/2007,0.59
10/11/2007,0.87
10/11/2007,0.59
10/11/2007,0.56
10/11/2007,0.52
10/11/2007,0.87
10/11/2007,0.70
10/11/2007,0.77
10/11/2007,0.62
10/11/2007,0.64
10/11/2007,0.77
10/11/2007,0.80
10/11/2007,0.80
10/11/2007,0.77
10/11/2007,0.80
10/11/2007,0.80
10/11/2007,0.83
10/11/2007,0.67
10/11/2007,0.77
10/11/2007,0.73
10/11/2007,0.87
10/11/2007,0.83
10/11/2007,0.83
10/11/2007,0.95
10/11/2007,0.73
10/11/2007,0.73
10/11/2007,0.77
10/11/2007,0.70
10/12/2007,0.67
10/12/2007,0.91
10/12/2007,0.80
10/12/2007,0.80
10/12/2007,0.77
10/12/2007,0.77
10/12/2007,0.91
10/12/2007,0.87
10/12/2007,0.67
10/12/2007,0.73
10/12/2007,0.83
10/12/2007,0.80
10/12/2007,0.83
10/12/2007,0.77
10/12/2007,0.70
10/12/2007,0.80
10/12/2007,0.83
10/12/2007,0.8
10/12/2007,0.83
10/12/2007,1.18
10/12/2007,0.73
10/12/2007,0.70
10/12/2007,0.67
10/12/2007,0.56
10/12/2007,0.47
10/12/2007,0.44
10/12/2007,0.67
10/12/2007,0.56
10/12/2007,0.80
10/12/2007,0.50
10/12/2007,0.62
10/12/2007,0.54
10/12/2007,0.56
10/12/2007,0.35
10/12/2007,0.47
10/12/2007,0.54
10/12/2007,0.73
10/12/2007,0.80
10/12/2007,0.67
10/12/2007,0.67
10/12/2007,0.59
10/12/2007,0.70
10/12/2007,0.77
10/12/2007,1.34
10/12/2007,1.13
10/12/2007,0.77
10/12/2007,1.23
10/12/2007,1.18
10/12/2007,1.08
10/12/2007,0.91
10/12/2007,1.04
10/12/2007,0.99
10/12/2007,0.64
10/12/2007,0.91
10/12/2007,0.67
10/12/2007,0.87
10/12/2007,0.67
10/12/2007,0.83
10/12/2007,0.83
10/12/2007,0.70
10/12/2007,0.67
10/12/2007,0.83
10/12/2007,0.83
10/12/2007,0.95
10/12/2007,0.67
10/12/2007,1.04
10/12/2007,0.73
10/12/2007,0.83
10/12/2007,1.18
10/12/2007,0.99
10/12/2007,0.95
10/12/2007,0.87
10/12/2007,1.23
10/12/2007,0.73
10/12/2007,0.95
10/12/2007,0.87
10/12/2007,1.08
10/12/2007,0.91
10/12/2007,0.77
10/12/2007,0.73
10/12/2007,0.95
10/12/2007,0.70
10/12/2007,1.34
10/12/2007,0.64
10/12/2007,0.99
10/12/2007,0.50
10/12/2007,0.56
10/12/2007,1.13
10/12/2007,0.83
10/12/2007,0.77
10/12/2007,0.67
10/12/2007,0.87
10/12/2007,0.70
10/12/2007,0.73
10/12/2007,0.80
10/12/2007,0.80
10/12/2007,0.77
10/12/2007,0.62
10/12/2007,0.87
10/12/2007,0.64
10/12/2007,0.59
10/12/2007,0.67
10/12/2007,0.47
10/12/2007,0.37
10/12/2007,0.28
10/12/2007,0.26
10/12/2007,0.32
10/12/2007,0.23
10/12/2007,0.70
10/12/2007,0.77
10/12/2007,1.08
10/12/2007,1.04
10/12/2007,0.91
10/12/2007,0.87
10/12/2007,1.13
10/12/2007,0.87
10/12/2007,1.04
10/12/2007,1.40
10/12/2007,1.08
10/12/2007,0.62
10/12/2007,0.45
10/12/2007,0.52
10/12/2007,0.38
10/12/2007,0.40
10/12/2007,0.67
10/12/2007,0.47
10/12/2007,0.34
10/12/2007,0.38
10/12/2007,0.73
10/12/2007,0.73
10/12/2007,0.70
10/12/2007,0.40
10/12/2007,0.50
10/12/2007,0.37
10/12/2007,0.54
10/12/2007,0.52
10/12/2007,0.52
10/12/2007,0.59
10/12/2007,0.64
10/12/2007,0.54
10/12/2007,0.47
10/12/2007,0.54
10/12/2007,0.50
10/12/2007,0.62
10/13/2007,0.54
10/13/2007,0.99
10/13/2007,1.90
10/13/2007,0.91
10/13/2007,0.73
10/13/2007,0.52
10/13/2007,0.52
10/13/2007,0.29
10/13/2007,0.62
10/13/2007,0.32
10/13/2007,0.32
10/13/2007,0.52
10/13/2007,0.67
10/13/2007,0.50
10/13/2007,0.47
10/13/2007,0.50
10/13/2007,0.38
10/13/2007,0.54
10/13/2007,0.47
10/13/2007,0.34
10/13/2007,0.40
10/13/2007,0.50
10/13/2007,0.40
10/13/2007,0.38
10/13/2007,0.40
10/13/2007,0.42
10/13/2007,0.67
10/13/2007,0.47
10/13/2007,0.44
10/13/2007,0.32
10/13/2007,0.34
10/13/2007,0.52
10/13/2007,0.32
10/13/2007,0.64
10/13/2007,0.40
10/13/2007,0.50
10/13/2007,0.70
10/13/2007,0.62
10/13/2007,0.52
10/13/2007,0.77
10/13/2007,0.54
10/13/2007,0.54
10/13/2007,0.52
10/13/2007,0.54
10/13/2007,0.73
10/13/2007,0.45
10/13/2007,0.42
10/13/2007,0.52
10/13/2007,0.45
10/13/2007,0.52
10/13/2007,0.44
10/13/2007,0.47
10/13/2007,0.52
10/13/2007,0.59
10/13/2007,0.62
10/13/2007,0.54
10/13/2007,0.70
10/13/2007,0.56
10/13/2007,0.50
10/13/2007,0.80
10/13/2007,0.67
10/13/2007,0.44
10/13/2007,0.52
10/13/2007,0.59
10/13/2007,0.73
10/13/2007,0.80
10/13/2007,0.95
10/13/2007,0.91
10/13/2007,0.45
10/13/2007,1.04
10/13/2007,0.64
10/13/2007,0.73
10/13/2007,0.91
10/13/2007,0.80
10/13/2007,1.29
10/13/2007,0.67
10/13/2007,0.59
10/13/2007,0.87
10/13/2007,0.70
10/13/2007,0.83
10/13/2007,0.70
10/13/2007,0.91
10/13/2007,0.8
10/13/2007,1.04
10/13/2007,0.87
10/13/2007,1.23
10/13/2007,0.87
10/13/2007,1.08
10/13/2007,1.04
10/13/2007,1.08
10/13/2007,0.91
10/13/2007,0.87
10/13/2007,0.91
10/13/2007,1.08
10/13/2007,0.91
10/13/2007,0.87
10/13/2007,0.99
10/13/2007,0.91
10/13/2007,0.91
10/13/2007,1.23
10/13/2007,0.64
10/13/2007,1.04
10/13/2007,0.99
10/13/2007,0.99
10/13/2007,0.83
10/13/2007,0.91
10/13/2007,0.95
10/13/2007,0.91
10/13/2007,0.73
10/13/2007,0.67
10/13/2007,0.95
10/13/2007,0.67
10/13/2007,0.70
10/13/2007,0.64
10/13/2007,0.64
10/13/2007,0.67
10/13/2007,0.77
10/13/2007,0.44
10/13/2007,0.54
10/13/2007,0.54
10/13/2007,0.35
10/13/2007,0.77
10/13/2007,0.62
10/13/2007,0.87
10/13/2007,0.73
10/13/2007,0.91
10/13/2007,1.18
10/13/2007,0.70
10/13/2007,0.91
10/13/2007,1.13
10/13/2007,1.23
10/13/2007,1.08
10/13/2007,0.80
10/13/2007,0.77
10/13/2007,0.83
10/13/2007,0.99
10/13/2007,0.95
10/13/2007,0.80
10/13/2007,0.91
10/13/2007,0.62
10/13/2007,0.70
10/13/2007,0.59
10/13/2007,0.56
10/13/2007,0.83
10/14/2007,0.70
10/14/2007,0.91
10/14/2007,0.70
10/14/2007,0.95
10/14/2007,0.77
10/14/2007,0.91
10/14/2007,0.87
10/14/2007,0.87
10/14/2007,0.87
10/14/2007,1.18
10/14/2007,0.95
10/14/2007,1.08
10/14/2007,1.18
10/14/2007,1.13
10/14/2007,1.04
10/14/2007,1.04
10/14/2007,1.40
10/14/2007,0.91
10/14/2007,1.29
10/14/2007,1.18
10/14/2007,1.18
10/14/2007,1.40
10/14/2007,1.60
10/14/2007,0.87
10/14/2007,1.18
10/14/2007,1.04
10/14/2007,0.87
10/14/2007,0.83
10/14/2007,0.91
10/14/2007,0.80
10/14/2007,0.80
10/14/2007,0.87
10/14/2007,0.73
10/14/2007,0.83
10/14/2007,0.77
10/14/2007,0.59
10/14/2007,0.67
10/14/2007,0.73
10/14/2007,0.67
10/14/2007,0.56
10/14/2007,0.73
10/14/2007,0.56
10/14/2007,0.87
10/14/2007,0.95
10/14/2007,0.80
10/14/2007,0.80
10/14/2007,0.95
10/14/2007,0.77
10/14/2007,0.99
10/14/2007,1.04
10/14/2007,1.08
10/14/2007,0.83
10/14/2007,0.77
10/14/2007,0.95
10/14/2007,1.04
10/14/2007,1.23
10/14/2007,1.08
10/14/2007,1.23
10/14/2007,1.34
10/14/2007,1.13
10/14/2007,1.04
10/14/2007,1.08
10/14/2007,1.04
10/14/2007,1.04
10/14/2007,1.08
10/14/2007,1.18
10/14/2007,1.29
10/14/2007,1.04
10/14/2007,1.23
10/14/2007,1.34
10/14/2007,1.08
10/14/2007,1.40
10/14/2007,1.13
10/14/2007,1.60
10/14/2007,0.95
10/14/2007,1.40
10/14/2007,0.95
10/14/2007,1.08
10/14/2007,1.08
10/14/2007,0.91
10/14/2007,1.13
10/14/2007,1.13
10/14/2007,1.08
10/14/2007,1.29
10/14/2007,1.18
10/14/2007,1.47
10/14/2007,1.08
10/14/2007,1.08
10/14/2007,1.60
10/14/2007,1.29
10/14/2007,1.23
10/14/2007,0.99
10/14/2007,1.23
10/14/2007,1.18
10/14/2007,0.95
10/14/2007,0.77
10/14/2007,0.77
10/14/2007,0.91
10/14/2007,0.99
10/14/2007,0.83
10/14/2007,0.87
10/14/2007,1.29
10/14/2007,0.99
10/14/2007,0.95
10/14/2007,0.70
10/14/2007,0.91
10/14/2007,0.70
10/14/2007,0.70
10/14/2007,0.73
10/14/2007,0.99
10/14/2007,0.77
10/14/2007,0.70
10/14/2007,0.59
10/14/2007,0.44
10/14/2007,0.50
10/14/2007,0.45
10/14/2007,0.80
10/14/2007,0.80
10/14/2007,1.08
10/14/2007,1.18
10/14/2007,1.13
10/14/2007,0.73
10/14/2007,1.40
10/14/2007,1.04
10/14/2007,1.13
10/14/2007,0.91
10/14/2007,0.77
10/14/2007,0.77
10/14/2007,0.80
10/14/2007,0.80
10/14/2007,1.08
10/14/2007,0.91
10/14/2007,0.67
10/14/2007,0.67
10/14/2007,0.42
10/14/2007,0.35
10/14/2007,0.44
10/14/2007,0.91
10/14/2007,0.56
10/14/2007,0.56
10/14/2007,0.70
10/14/2007,0.77
10/14/2007,0.73
10/14/2007,0.77
10/15/2007,0.67
10/15/2007,0.80
10/15/2007,0.87
10/15/2007,0.99
10/15/2007,0.59
10/15/2007,0.59
10/15/2007,0.59
10/15/2007,0.64
10/15/2007,0.67
10/15/2007,0.70
10/15/2007,0.73
10/15/2007,0.83
10/15/2007,0.73
10/15/2007,0.67
10/15/2007,0.77
10/15/2007,0.77
10/15/2007,0.80
10/15/2007,0.80
10/15/2007,0.67
10/15/2007,0.64
10/15/2007,0.64
10/15/2007,0.59
10/15/2007,0.59
10/15/2007,0.73
10/15/2007,0.67
10/15/2007,0.56
10/15/2007,0.50
10/15/2007,0.50
10/15/2007,0.44
10/15/2007,0.54
10/15/2007,0.56
10/15/2007,0.67
10/15/2007,0.77
10/15/2007,0.83
10/15/2007,0.77
10/15/2007,0.77
10/15/2007,1.04
10/15/2007,0.67
10/15/2007,0.62
10/15/2007,0.80
10/15/2007,0.73
10/15/2007,0.73
10/15/2007,1.34
10/15/2007,0.87
10/15/2007,0.83
10/15/2007,0.91
10/15/2007,1.04
10/15/2007,1.13
10/15/2007,0.99
10/15/2007,1.13
10/15/2007,1.18
10/15/2007,1.08
10/15/2007,0.70
10/15/2007,0.95
10/15/2007,1.13
10/15/2007,0.73
10/15/2007,0.77
10/15/2007,1.08
10/15/2007,0.83
10/15/2007,0.77
10/15/2007,1.18
10/15/2007,1.18
10/15/2007,0.8
10/15/2007,0.83
10/15/2007,1.08
10/15/2007,0.91
10/15/2007,1.18
10/15/2007,0.99
10/15/2007,1.47
10/15/2007,0.99
10/15/2007,1.13
10/15/2007,1.13
10/15/2007,1.23
10/15/2007,1.18
10/15/2007,1.04
10/15/2007,1.04
10/15/2007,1.29
10/15/2007,1.53
10/15/2007,1.40
10/15/2007,1.47
10/15/2007,0.83
10/15/2007,1.04
10/15/2007,1.34
10/15/2007,1.29
10/15/2007,1.29
10/15/2007,1.4
10/15/2007,1.29
10/15/2007,0.91
10/15/2007,0.83
10/15/2007,0.77
10/15/2007,0.62
10/15/2007,1.34
10/15/2007,1.23
10/15/2007,0.99
10/15/2007,0.87
10/15/2007,1.08
10/15/2007,0.91
10/15/2007,0.95
10/15/2007,0.59
10/15/2007,0.52
10/15/2007,0.34
10/15/2007,0.27
10/15/2007,0.26
10/15/2007,0.24
10/15/2007,0.23
10/15/2007,0.23
10/15/2007,0.24
10/15/2007,0.21
10/15/2007,0.28
10/15/2007,0.27
10/15/2007,0.31
10/15/2007,0.00
10/15/2007,0.52
10/15/2007,0.67
10/15/2007,0.23
10/15/2007,0.2
10/15/2007,0.22
10/15/2007,0.21
10/15/2007,0.21
10/15/2007,0.38
10/15/2007,0.16
10/15/2007,0.31
10/15/2007,0.19
10/15/2007,0.52
10/15/2007,0.18
10/15/2007,0.27
10/15/2007,0.52
10/15/2007,0.54
10/15/2007,0.32
10/15/2007,0.25
10/15/2007,0.28
10/15/2007,0.21
10/15/2007,0.18
10/15/2007,0.25
10/15/2007,0.35
10/15/2007,0.42
10/15/2007,0.24
10/15/2007,0.21
10/15/2007,0.16
10/15/2007,0.18
10/15/2007,0.24
10/15/2007,0.31
10/15/2007,0.27
10/15/2007,0.23
